condition,color,pretraining,dimensionality,repeat,outer_fold,selected_model,inner_macro_f1,train_instances,test_originals,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
rgb+pretrained+pca6,rgb,pretrained,pca6,4,3,SVM (RBF),0.9268671143671143,400,41,0.8048780487804879,0.8159340659340659,0.7818627450980392,0.8159340659340659,0.7897435897435897,0.5968250768664491,0.8461538461538461,0.7857142857142857
rgb+pretrained+pca6,rgb,pretrained,pca6,4,4,SVM (RBF),0.9288448588448588,400,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
rgb+pretrained+pca6,rgb,pretrained,pca6,4,5,Random Forest,0.9124087216119303,400,40,0.925,0.9245014245014245,0.9093406593406593,0.9245014245014245,0.9161425576519916,0.8337042473118683,0.9230769230769231,0.9259259259259259
rgb+pretrained+pca6,rgb,pretrained,pca6,5,1,SVM (RBF),0.9423840048840049,400,41,0.926829268292683,0.9052197802197802,0.9238505747126436,0.9052197802197802,0.9136842105263158,0.8288609937283452,0.8461538461538461,0.9642857142857143
rgb+pretrained+pca6,rgb,pretrained,pca6,5,2,Logistic Regression,0.9436757978863243,400,40,0.925,0.9245014245014245,0.9093406593406593,0.9245014245014245,0.9161425576519916,0.8337042473118683,0.9230769230769231,0.9259259259259259
rgb+pretrained+pca6,rgb,pretrained,pca6,5,3,SVM (RBF),0.9358630462205514,400,40,0.975,0.9615384615384616,0.9821428571428572,0.9615384615384616,0.9709090909090909,0.9434563530497264,0.9230769230769231,1.0
rgb+pretrained+pca6,rgb,pretrained,pca6,5,4,Logistic Regression,0.9361496670694784,400,40,0.825,0.8511904761904762,0.8017902813299234,0.8511904761904762,0.810682893847194,0.6511094304643837,0.9166666666666666,0.7857142857142857
rgb+pretrained+pca6,rgb,pretrained,pca6,5,5,Logistic Regression,0.9087186555582781,400,40,0.975,0.9814814814814814,0.9642857142857143,0.9814814814814814,0.9720475192173306,0.9456108576893004,1.0,0.9629629629629629
rgb+random+full512,rgb,random,full512,1,1,SVM (RBF),0.7876270077278127,400,40,0.825,0.8304843304843305,0.8020833333333333,0.8304843304843305,0.810682893847194,0.631929768778593,0.8461538461538461,0.8148148148148148
rgb+random+full512,rgb,random,full512,1,2,SVM (RBF),0.808574583572094,400,40,0.75,0.6552706552706553,0.7359307359307359,0.6552706552706553,0.6666666666666667,0.38279561108483623,0.38461538461538464,0.9259259259259259
rgb+random+full512,rgb,random,full512,1,3,SVM (RBF),0.8129730861686703,400,41,0.7804878048780488,0.7980769230769231,0.7620772946859904,0.7980769230769231,0.7666034155597723,0.5589962204105643,0.8461538461538461,0.75
rgb+random+full512,rgb,random,full512,1,4,Logistic Regression,0.8043094553736191,400,40,0.875,0.8392857142857143,0.8573667711598747,0.8392857142857143,0.84744469870328,0.696417806248397,0.75,0.9285714285714286
rgb+random+full512,rgb,random,full512,1,5,Logistic Regression,0.8324614332536533,400,40,0.7,0.6780626780626781,0.6666666666666667,0.6780626780626781,0.6703296703296704,0.34454092941446796,0.6153846153846154,0.7407407407407407
rgb+random+full512,rgb,random,full512,2,1,Logistic Regression,0.8068094693566391,400,40,0.875,0.8276353276353277,0.8833333333333333,0.8276353276353277,0.84744469870328,0.7087835840655705,0.6923076923076923,0.9629629629629629
rgb+random+full512,rgb,random,full512,2,2,Random Forest,0.7931171276974791,400,40,0.875,0.8475783475783476,0.8630952380952381,0.8475783475783476,0.8545454545454545,0.7105041671115223,0.7692307692307693,0.9259259259259259
rgb+random+full512,rgb,random,full512,2,3,SVM (RBF),0.8190314258083353,400,41,0.8292682926829268,0.8131868131868132,0.8015873015873016,0.8131868131868132,0.8067340067340067,0.6146646756784948,0.7692307692307693,0.8571428571428571
