repeat,outer_fold,inner_fold,phase,kelas,is_augmented,instances
3,1,all,outer_fit,batik,False,109
3,1,all,outer_fit,batik,True,91
3,1,all,outer_fit,non_batik,False,51
3,1,all,outer_fit,non_batik,True,149
3,2,1,inner_selection,batik,False,82
3,2,1,inner_selection,batik,True,118
3,2,1,inner_selection,non_batik,False,39
3,2,1,inner_selection,non_batik,True,161
3,2,2,inner_selection,batik,False,82
3,2,2,inner_selection,batik,True,118
3,2,2,inner_selection,non_batik,False,38
3,2,2,inner_selection,non_batik,True,162
3,2,3,inner_selection,batik,False,83
3,2,3,inner_selection,batik,True,117
3,2,3,inner_selection,non_batik,False,38
3,2,3,inner_selection,non_batik,True,162
3,2,4,inner_selection,batik,False,83
3,2,4,inner_selection,batik,True,117
3,2,4,inner_selection,non_batik,False,38
3,2,4,inner_selection,non_batik,True,162
3,2,all,outer_fit,batik,False,110
3,2,all,outer_fit,batik,True,90
3,2,all,outer_fit,non_batik,False,51
3,2,all,outer_fit,non_batik,True,149
3,3,1,inner_selection,batik,False,82
3,3,1,inner_selection,batik,True,118
3,3,1,inner_selection,non_batik,False,38
3,3,1,inner_selection,non_batik,True,162
3,3,2,inner_selection,batik,False,83
3,3,2,inner_selection,batik,True,117
3,3,2,inner_selection,non_batik,False,38
3,3,2,inner_selection,non_batik,True,162
3,3,3,inner_selection,batik,False,82
3,3,3,inner_selection,batik,True,118
3,3,3,inner_selection,non_batik,False,39
3,3,3,inner_selection,non_batik,True,161
3,3,4,inner_selection,batik,False,83
3,3,4,inner_selection,batik,True,117
3,3,4,inner_selection,non_batik,False,38
3,3,4,inner_selection,non_batik,True,162
3,3,all,outer_fit,batik,False,110
3,3,all,outer_fit,batik,True,90
3,3,all,outer_fit,non_batik,False,51
3,3,all,outer_fit,non_batik,True,149
3,4,1,inner_selection,batik,False,81
3,4,1,inner_selection,batik,True,119
3,4,1,inner_selection,non_batik,False,39
3,4,1,inner_selection,non_batik,True,161
3,4,2,inner_selection,batik,False,82
3,4,2,inner_selection,batik,True,118
3,4,2,inner_selection,non_batik,False,39
3,4,2,inner_selection,non_batik,True,161
3,4,3,inner_selection,batik,False,82
3,4,3,inner_selection,batik,True,118
3,4,3,inner_selection,non_batik,False,39
3,4,3,inner_selection,non_batik,True,161
3,4,4,inner_selection,batik,False,82
3,4,4,inner_selection,batik,True,118
3,4,4,inner_selection,non_batik,False,39
3,4,4,inner_selection,non_batik,True,161
3,4,all,outer_fit,batik,False,109
3,4,all,outer_fit,batik,True,91
3,4,all,outer_fit,non_batik,False,52
3,4,all,outer_fit,non_batik,True,148
3,5,1,inner_selection,batik,False,82
3,5,1,inner_selection,batik,True,118
3,5,1,inner_selection,non_batik,False,39
3,5,1,inner_selection,non_batik,True,161
3,5,2,inner_selection,batik,False,82
3,5,2,inner_selection,batik,True,118
3,5,2,inner_selection,non_batik,False,38
3,5,2,inner_selection,non_batik,True,162
3,5,3,inner_selection,batik,False,83
3,5,3,inner_selection,batik,True,117
3,5,3,inner_selection,non_batik,False,38
3,5,3,inner_selection,non_batik,True,162
3,5,4,inner_selection,batik,False,83
3,5,4,inner_selection,batik,True,117
3,5,4,inner_selection,non_batik,False,38
3,5,4,inner_selection,non_batik,True,162
3,5,all,outer_fit,batik,False,110
3,5,all,outer_fit,batik,True,90
3,5,all,outer_fit,non_batik,False,51
3,5,all,outer_fit,non_batik,True,149
4,1,1,inner_selection,batik,False,82
4,1,1,inner_selection,batik,True,118
4,1,1,inner_selection,non_batik,False,38
4,1,1,inner_selection,non_batik,True,162
4,1,2,inner_selection,batik,False,83
4,1,2,inner_selection,batik,True,117
4,1,2,inner_selection,non_batik,False,38
4,1,2,inner_selection,non_batik,True,162
4,1,3,inner_selection,batik,False,82
4,1,3,inner_selection,batik,True,118
4,1,3,inner_selection,non_batik,False,39
4,1,3,inner_selection,non_batik,True,161
4,1,4,inner_selection,batik,False,83
4,1,4,inner_selection,batik,True,117
4,1,4,inner_selection,non_batik,False,38
4,1,4,inner_selection,non_batik,True,162
4,1,all,outer_fit,batik,False,110
4,1,all,outer_fit,batik,True,90
4,1,all,outer_fit,non_batik,False,51
4,1,all,outer_fit,non_batik,True,149
4,2,1,inner_selection,batik,False,81
4,2,1,inner_selection,batik,True,119
4,2,1,inner_selection,non_batik,False,39
4,2,1,inner_selection,non_batik,True,161
4,2,2,inner_selection,batik,False,82
4,2,2,inner_selection,batik,True,118
4,2,2,inner_selection,non_batik,False,39
4,2,2,inner_selection,non_batik,True,161
4,2,3,inner_selection,batik,False,82
4,2,3,inner_selection,batik,True,118
4,2,3,inner_selection,non_batik,False,39
4,2,3,inner_selection,non_batik,True,161
4,2,4,inner_selection,batik,False,82
4,2,4,inner_selection,batik,True,118
4,2,4,inner_selection,non_batik,False,39
4,2,4,inner_selection,non_batik,True,161
4,2,all,outer_fit,batik,False,109
4,2,all,outer_fit,batik,True,91
4,2,all,outer_fit,non_batik,False,52
4,2,all,outer_fit,non_batik,True,148
4,3,1,inner_selection,batik,False,82
4,3,1,inner_selection,batik,True,118
4,3,1,inner_selection,non_batik,False,38
4,3,1,inner_selection,non_batik,True,162
4,3,2,inner_selection,batik,False,82
4,3,2,inner_selection,batik,True,118
4,3,2,inner_selection,non_batik,False,38
4,3,2,inner_selection,non_batik,True,162
4,3,3,inner_selection,batik,False,82
4,3,3,inner_selection,batik,True,118
4,3,3,inner_selection,non_batik,False,38
4,3,3,inner_selection,non_batik,True,162
4,3,4,inner_selection,batik,False,81
4,3,4,inner_selection,batik,True,119
4,3,4,inner_selection,non_batik,False,39
4,3,4,inner_selection,non_batik,True,161
4,3,all,outer_fit,batik,False,109
4,3,all,outer_fit,batik,True,91
4,3,all,outer_fit,non_batik,False,51
4,3,all,outer_fit,non_batik,True,149
4,4,1,inner_selection,batik,False,82
4,4,1,inner_selection,batik,True,118
4,4,1,inner_selection,non_batik,False,38
4,4,1,inner_selection,non_batik,True,162
4,4,2,inner_selection,batik,False,83
4,4,2,inner_selection,batik,True,117
4,4,2,inner_selection,non_batik,False,38
4,4,2,inner_selection,non_batik,True,162
4,4,3,inner_selection,batik,False,82
4,4,3,inner_selection,batik,True,118
4,4,3,inner_selection,non_batik,False,39
4,4,3,inner_selection,non_batik,True,161
4,4,4,inner_selection,batik,False,83
4,4,4,inner_selection,batik,True,117
4,4,4,inner_selection,non_batik,False,38
4,4,4,inner_selection,non_batik,True,162
4,4,all,outer_fit,batik,False,110
4,4,all,outer_fit,batik,True,90
4,4,all,outer_fit,non_batik,False,51
4,4,all,outer_fit,non_batik,True,149
4,5,1,inner_selection,batik,False,82
4,5,1,inner_selection,batik,True,118
4,5,1,inner_selection,non_batik,False,38
4,5,1,inner_selection,non_batik,True,162
4,5,2,inner_selection,batik,False,83
4,5,2,inner_selection,batik,True,117
4,5,2,inner_selection,non_batik,False,38
4,5,2,inner_selection,non_batik,True,162
4,5,3,inner_selection,batik,False,83
4,5,3,inner_selection,batik,True,117
4,5,3,inner_selection,non_batik,False,38
4,5,3,inner_selection,non_batik,True,162
4,5,4,inner_selection,batik,False,82
4,5,4,inner_selection,batik,True,118
4,5,4,inner_selection,non_batik,False,39
4,5,4,inner_selection,non_batik,True,161
4,5,all,outer_fit,batik,False,110
4,5,all,outer_fit,batik,True,90
4,5,all,outer_fit,non_batik,False,51
4,5,all,outer_fit,non_batik,True,149
5,1,1,inner_selection,batik,False,82
5,1,1,inner_selection,batik,True,118
