repeat,outer_fold,feature_set,model,inner_macro_f1_mean,inner_macro_f1_std,inner_fold_scores
1,3,Gabungan 6 Fitur,Random Forest,0.8916147273956605,0.06856399625739279,"[0.918864097363, 0.864773495605, 0.811912225705, 0.970909090909]"
1,4,Edge/Morfologi,Logistic Regression,0.7656499597091215,0.11663805337008161,"[0.823275862069, 0.590792838875, 0.82905982906, 0.819471308833]"
1,4,Edge/Morfologi,SVM (RBF),0.7671056721056722,0.09197065693301486,"[0.875757575758, 0.65811965812, 0.796363636364, 0.738181818182]"
1,4,Edge/Morfologi,Random Forest,0.7867393621703966,0.03674020791043496,"[0.837301587302, 0.74921630094, 0.78021978022, 0.78021978022]"
1,4,Tekstur,Logistic Regression,0.7517825096633329,0.03390222901078912,"[0.775956284153, 0.77207977208, 0.756592292089, 0.702501690331]"
1,4,Tekstur,SVM (RBF),0.7792809603875177,0.10202694137609698,"[0.839968774395, 0.821428571429, 0.82905982906, 0.626666666667]"
1,4,Tekstur,Random Forest,0.7321906667870168,0.1100029236506245,"[0.775956284153, 0.78021978022, 0.804332634521, 0.568253968254]"
1,4,Frekuensi,Logistic Regression,0.5312976946659598,0.11058861483670052,"[0.416821273964, 0.574734208881, 0.66473243069, 0.468902865129]"
1,4,Frekuensi,SVM (RBF),0.6059425471637422,0.09070027211130309,"[0.599869876383, 0.568253968254, 0.733333333333, 0.522313010685]"
1,4,Frekuensi,Random Forest,0.566733453126378,0.06887299758615825,"[0.4875, 0.648411088573, 0.590792838875, 0.540229885057]"
1,4,Gabungan 6 Fitur,Logistic Regression,0.8111267695614356,0.07089449316185684,"[0.909358879882, 0.810682893847, 0.78021978022, 0.744245524297]"
1,4,Gabungan 6 Fitur,SVM (RBF),0.8614303044384661,0.06414822987413722,"[0.909358879882, 0.84, 0.916142557652, 0.78021978022]"
1,4,Gabungan 6 Fitur,Random Forest,0.8749265915196589,0.030831522937657504,"[0.909358879882, 0.89010989011, 0.860237596087, 0.84]"
1,5,Edge/Morfologi,Logistic Regression,0.7672962478817141,0.12967994246092604,"[0.813272608979, 0.738181818182, 0.605003291639, 0.912727272727]"
