left,right,patch_corr
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0024.jpg,0.1431
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0025.jpg,0.1364
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0028.jpg,0.1838
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0029.jpg,0.2547
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/003.jpg,0.2463
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0030.jpg,0.1847
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0032.jpg,0.1189
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0034.jpg,0.166
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0036.jpg,0.1856
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0038.jpg,0.1647
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0039.jpg,0.1439
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/004.jpg,0.1374
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0040.jpg,0.1489
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/005.jpg,0.2218
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/006.jpg,0.1779
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/007.jpg,0.1288
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/008.jpg,0.1917
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/009.jpg,0.1375
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik pekalongan/pekalongan1.jpg,0.1375
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik pekalongan/pekalongan2.jpg,0.1352
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik pekalongan/pekalongan3.jpg,0.1643
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik pekalongan/pekalongan4.jpg,0.2165
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik pekalongan/pekalongan5.jpg,0.1452
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik semarangan/semarangan1.jpg,0.1234
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik semarangan/semarangan2.jpg,0.2009
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik semarangan/semarangan3.jpg,0.113
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik semarangan/semarangan4.jpg,0.3048
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik semarangan/semarangan5.jpg,0.1088
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik solo/solo1.png,0.1415
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik solo/solo2.jpg,0.1358
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik solo/solo4.jpg,0.1477
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/batik solo/solo5.jpg,0.15
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (1).png,0.1281
