left,right,patch_corr,align_score,dx,dy,overlap_w,overlap_h,residual_rgb
dataset_batik/batik/Yogyakarta_Kawung/0024.jpg,dataset_batik/batik/Yogyakarta_Kawung/0032.jpg,0.691,0.4968533515930176,59,-6,197,250,68.62995147705078
dataset_batik/batik/Yogyakarta_Kawung/0021.jpg,uji_eksternal/batik/batik_kawung (2).jpg,0.6687,0.6515092253684998,62,24,194,232,68.96168518066406
dataset_batik/batik/Solo_Parang/0011.jpg,dataset_batik/batik/Solo_Parang/009.jpg,0.6425,0.5010242462158203,31,-34,225,222,69.36083221435547
dataset_batik/batik/Yogyakarta_Kawung/0020.jpg,dataset_batik/batik/Yogyakarta_Kawung/0031.jpg,0.7072,0.5254939198493958,19,-38,237,218,69.37528991699219
dataset_batik/non_batik/garis/garis1 (3).jpg,dataset_batik/non_batik/modern/modern (7).png,0.7689,0.5056913495063782,-55,-59,201,197,69.46830749511719
dataset_batik/batik/Yogyakarta_Kawung/004.jpg,uji_eksternal/batik/batik_kawung.png,0.6122,0.6013588905334473,-14,33,242,223,69.5688247680664
dataset_batik/non_batik/garis/garis1 (3).jpg,dataset_batik/non_batik/modern/modern (6).png,0.692,0.6300323009490967,41,-51,215,205,69.74588012695312
dataset_batik/non_batik/polos/polos (3).png,uji_eksternal/non_batik/polos4.webp,0.6108,0.11233111470937729,64,-63,192,193,71.01905059814453
dataset_batik/batik/Solo_Parang/004.jpg,dataset_batik/batik/Solo_Parang/009.jpg,0.6091,0.26764607429504395,43,-31,213,225,71.39265441894531
dataset_batik/batik/Yogyakarta_Kawung/0027.jpg,dataset_batik/batik/Yogyakarta_Kawung/0040.jpg,0.7282,0.6771198511123657,-11,-4,245,252,71.54839324951172
dataset_batik/batik/Yogyakarta_Kawung/005.jpg,dataset_batik/non_batik/kotak/kotak3.png,0.6556,0.5300019383430481,38,-5,218,251,71.6307373046875
dataset_batik/batik/Yogyakarta_Kawung/003.jpg,dataset_batik/batik/Yogyakarta_Kawung/0032.jpg,0.6402,0.48117801547050476,20,33,236,223,71.63483428955078
